排名,分拣中心,等级,综合分,枢纽度,流量度,影响力,总出现次数,作为起点,作为中转,作为终点,起点占比,中转占比,终点占比,平均深度,最小深度,最大深度,上游连接数,下游连接数,总连接数,上游集中度,最大上游站,有效下游方向数,最大下游站,日均流入货量,日均流出货量,日均经过货量,OD覆盖数,OD覆盖率,现有设备,格口数量,产能上限,角色倾向
36,A59分拣,A,46.9,22.8,83.1,41.1,215,84,40,91,39.1%,18.6%,42.3%,1.19,0,4,17,29,46,22.9%,A10分拣,21,A57分拣,99367.0,71872.0,194833.0,215,2.74%,分拣机8,274,75000,混合型
37,A51分拣,A,46.3,19.1,90.0,39.1,167,86,43,38,51.5%,25.7%,22.8%,0.87,0,4,6,22,28,34.6%,A10分拣,20,A10分拣,82982.0,199481.0,305735.0,167,2.13%,分拣机2,618,200000,始发型
38,A80分拣,A,45.8,29.4,73.0,46.4,297,83,126,88,27.9%,42.4%,29.6%,1.36,0,5,3,28,31,77.6%,A84分拣,28,A45分拣,399.0,84403.0,100987.0,297,3.78%,分拣机1,259,100000,混合型
39,A62分拣,B,44.9,37.0,73.3,38.5,429,84,254,91,19.6%,59.2%,21.2%,1.34,0,4,12,8,20,39.4%,A31分拣,7,A46分拣,59179.0,16381.0,102925.0,429,5.47%,分拣机1,202,100000,混合型
40,A95分拣,B,44.8,17.6,89.7,28.7,188,84,13,91,44.7%,6.9%,48.4%,1.02,0,4,23,21,44,14.4%,A46分拣,11,A45分拣,208810.0,84104.0,300182.0,188,2.40%,分拣机2,599,200000,混合型
41,A21分拣,B,44.6,18.0,87.9,31.3,204,88,25,91,43.1%,12.3%,44.6%,1.19,0,4,20,17,37,18.1%,A46分拣,8,A46分拣,81139.0,160112.0,266642.0,204,2.60%,分拣机2,391,200000,混合型
42,A84分拣,B,44.6,21.8,76.6,44.8,257,83,83,91,32.3%,32.3%,35.4%,1.39,0,4,19,1,20,17.2%,A104分拣,1,A80分拣,126170.0,1112.0,127665.0,257,3.27%,分拣机1,396,100000,混合型
43,A9分拣,B,43.1,30.2,70.2,40.3,352,88,173,91,25.0%,49.1%,25.9%,1.21,0,5,8,10,18,22.7%,A85分拣,10,A10分拣,33864.0,33790.0,83819.0,352,4.48%,分拣机4,80,30000,混合型
44,A4分拣,B,41.9,13.8,89.2,20.0,179,88,0,91,49.2%,0.0%,50.8%,1.08,0,4,18,21,39,19.8%,A76分拣,13,A10分拣,194993.0,96879.0,291872.0,179,2.28%,分拣机1,348,100000,末端型
45,A49分拣,B,40.7,16.1,77.8,27.0,190,83,16,91,43.7%,8.4%,47.9%,1.05,0,4,21,15,36,17.8%,A102分拣,11,A102分拣,81308.0,45320.0,137586.0,190,2.42%,分拣机2,370,200000,混合型
46,A35分拣,B,40.3,14.2,81.8,20.7,174,83,0,91,47.7%,0.0%,52.3%,1.09,0,4,21,20,41,31.9%,A102分拣,10,A102分拣,101384.0,77610.0,178994.0,174,2.22%,分拣机1,555,100000,末端型
47,A14分拣,B,40.2,14.4,80.6,21.4,177,84,2,91,47.5%,1.1%,51.4%,1.11,0,4,16,24,40,20.4%,A1分拣,10,A102分拣,102722.0,61354.0,165850.0,177,2.26%,分拣机1,416,100000,末端型
48,A37分拣,B,40.0,12.6,85.0,18.3,175,84,0,91,48.0%,0.0%,52.0%,1.07,0,4,17,18,35,16.5%,A24分拣,7,A45分拣,150983.0,69819.0,220802.0,175,2.23%,分拣机2,321,200000,末端型
49,A27分拣,B,39.8,13.3,82.2,20.9,182,84,7,91,46.2%,3.8%,50.0%,1.06,0,4,18,14,32,15.3%,A24分拣,4,A45分拣,137112.0,42575.0,184356.0,182,2.32%,分拣机1,461,100000,混合型
