等级,排名,分拣中心,综合分,枢纽度,流量度,出现次数,起点,中转,终点,中转占比,平均深度,上游,下游,日均经过货量,OD覆盖数,现有设备,格口,产能,角色倾向
B,63,A63分拣,34.3,9.5,71.4,175,84,0,91,0.0%,1.25,14,9,90585.0,175,分拣机4,57,30000,末端型
B,64,A65分拣,33.4,7.9,72.4,176,85,0,91,0.0%,1.24,10,7,97207.0,176,分拣机4,133,45000,末端型
B,65,A87分拣,33.3,9.6,67.2,179,88,0,91,0.0%,1.16,15,8,69152.0,179,分拣机4,77,30000,末端型
B,66,A81分拣,33.3,9.4,67.5,173,82,0,91,0.0%,1.14,15,8,70213.0,173,分拣机4,61,30000,末端型
B,67,A100分拣,32.8,7.4,71.5,176,85,0,91,0.0%,1.25,11,4,91463.0,176,分拣机6,73,30000,末端型
B,68,A22分拣,32.8,8.4,68.5,182,85,6,91,3.3%,1.28,9,5,75011.0,182,分拣机1,263,100000,混合型
B,69,A90分拣,32.0,7.9,66.6,175,84,0,91,0.0%,1.26,16,1,66529.0,175,分拣机4,78,30000,末端型
B,70,A50分拣,31.7,6.8,68.7,173,82,0,91,0.0%,1.23,9,4,76021.0,173,分拣机1,379,100000,末端型
B,71,A40分拣,31.1,7.4,64.6,175,84,0,91,0.0%,1.23,7,8,58233.0,175,分拣机4,119,30000,末端型
B,72,A44分拣,30.7,6.0,67.1,173,82,0,91,0.0%,1.37,7,3,68390.0,173,分拣机6,78,30000,末端型
B,73,A78分拣,30.6,6.9,64.2,176,85,0,91,0.0%,1.28,9,4,56686.0,176,分拣机4,89,30000,末端型
B,74,A41分拣,30.6,6.3,65.9,173,82,0,91,0.0%,1.3,8,3,63180.0,173,分拣机6,94,30000,末端型
B,75,A85分拣,30.4,7.8,60.6,183,88,4,91,2.2%,1.41,7,6,44878.0,183,分拣机4,79,30000,混合型
B,76,A12分拣,30.3,6.0,65.4,173,82,0,91,0.0%,1.34,7,3,61345.0,173,分拣机6,102,30000,末端型
C,77,A32分拣,30.0,6.1,63.9,175,84,0,91,0.0%,1.32,6,4,55650.0,175,分拣机4,76,30000,末端型
C,78,A71分拣,29.6,5.6,63.7,179,88,0,91,0.0%,1.41,4,4,54729.0,179,分拣机4,79,30000,末端型
C,79,A67分拣,29.4,5.0,64.6,175,84,0,91,0.0%,1.3,5,1,58103.0,175,分拣机4,80,30000,末端型
C,80,A96分拣,29.1,6.7,58.7,178,87,0,91,0.0%,1.44,6,6,39448.0,178,分拣机4,78,30000,末端型
C,81,A79分拣,29.0,6.4,59.3,176,85,0,91,0.0%,1.25,8,3,41023.0,176,分拣机4,84,30000,末端型
C,82,A60分拣,28.8,6.5,58.1,180,89,0,91,0.0%,1.45,5,6,38048.0,180,分拣机4,70,30000,末端型
C,83,A52分拣,28.6,5.3,60.8,176,85,0,91,0.0%,1.35,5,2,45367.0,176,分拣机4,92,30000,末端型
C,84,A29分拣,28.4,6.1,57.4,177,86,0,91,0.0%,1.36,4,6,36270.0,177,分拣机4,78,30000,末端型
C,85,A30分拣,27.0,5.0,55.0,175,84,0,91,0.0%,1.35,4,2,31119.0,175,分拣机4,63,30000,末端型
C,86,A8分拣,25.8,5.3,49.4,176,85,0,91,0.0%,1.36,4,3,21488.0,176,分拣机4,40,30000,末端型
C,87,A39分拣,25.7,5.3,49.2,175,84,0,91,0.0%,1.33,5,2,21280.0,175,分拣机6,63,30000,末端型
C,88,A58分拣,24.9,4.5,48.3,176,85,0,91,0.0%,1.35,3,1,20055.0,176,分拣机4,39,30000,末端型
C,89,A25分拣,24.6,5.1,45.3,177,86,0,91,0.0%,1.32,4,2,16431.0,177,分拣机4,29,20000,末端型
C,90,A20分拣,23.5,4.0,44.1,175,84,0,91,0.0%,1.49,1,1,15212.0,175,分拣机4,38,30000,末端型
C,91,A33分拣,21.6,7.4,26.5,175,84,0,91,0.0%,1.33,7,8,4817.0,175,分拣机4,133,45000,末端型
D,92,南阳分拣中心,13.2,30.1,10.6,7,0,7,0,100.0%,2.29,1,1,1696.0,7,未知,0,0,枢纽型
D,93,A89分拣,11.9,2.7,0.0,87,87,0,0,0.0%,0.0,0,5,848.0,87,未知,0,0,始发型
